Source,Target,Weight,Type
17.0_-60.0,16.0_-61.0,155.56,Directed
17.0_-60.0,16.0_-60.0,110.00,Directed
17.0_-60.0,16.0_-59.0,155.56,Directed
17.0_-60.0,17.0_-61.0,110.00,Directed
17.0_-60.0,17.0_-59.0,110.00,Directed
17.0_-60.0,18.0_-61.0,155.56,Directed
17.0_-60.0,18.0_-60.0,110.00,Directed
17.0_-60.0,18.0_-59.0,155.56,Directed
34.0_-120.0,33.0_-121.0,155.56,Directed
34.0_-120.0,33.0_-120.0,110.00,Directed
34.0_-120.0,33.0_-119.0,155.56,Directed
34.0_-120.0,34.0_-121.0,110.00,Directed
34.0_-120.0,35.0_-121.0,155.56,Directed
21.0_-130.0,20.0_-130.0,110.00,Directed
21.0_-130.0,22.0_-130.0,110.00,Directed
21.0_-130.0,22.0_-129.0,155.56,Directed
15.0_-159.0,14.0_-160.0,155.56,Directed
15.0_-159.0,14.0_-159.0,110.00,Directed
15.0_-159.0,14.0_-158.0,155.56,Directed
15.0_-159.0,15.0_-160.0,110.00,Directed
15.0_-159.0,15.0_-158.0,110.00,Directed
15.0_-159.0,16.0_-160.0,155.56,Directed
15.0_-159.0,16.0_-159.0,110.00,Directed
15.0_-159.0,16.0_-158.0,155.56,Directed
14.0_-82.0,13.0_-82.0,110.00,Directed
14.0_-82.0,15.0_-82.0,110.00,Directed
34.0_-66.0,33.0_-67.0,155.56,Directed
34.0_-66.0,33.0_-66.0,110.00,Directed
34.0_-66.0,33.0_-65.0,155.56,Directed
34.0_-66.0,34.0_-67.0,110.00,Directed
34.0_-66.0,34.0_-65.0,110.00,Directed
34.0_-66.0,35.0_-67.0,155.56,Directed
34.0_-66.0,35.0_-66.0,110.00,Directed
34.0_-66.0,35.0_-65.0,155.56,Directed
54.0_-165.0,54.0_-166.0,110.00,Directed
54.0_-165.0,55.0_-165.0,110.00,Directed
54.0_-165.0,55.0_-164.0,155.56,Directed
19.0_-110.0,18.0_-111.0,155.56,Directed
19.0_-110.0,18.0_-110.0,110.00,Directed
19.0_-110.0,18.0_-109.0,155.56,Directed
19.0_-110.0,19.0_-111.0,110.00,Directed
19.0_-110.0,19.0_-109.0,110.00,Directed
19.0_-110.0,20.0_-111.0,155.56,Directed
19.0_-110.0,20.0_-110.0,110.00,Directed
19.0_-110.0,20.0_-109.0,155.56,Directed
43.0_-70.0,42.0_-71.0,155.56,Directed
43.0_-70.0,42.0_-70.0,110.00,Directed
43.0_-70.0,42.0_-69.0,155.56,Directed
43.0_-70.0,43.0_-71.0,110.00,Directed
43.0_-70.0,43.0_-69.0,110.00,Directed
43.0_-70.0,44.0_-70.0,110.00,Directed
43.0_-70.0,44.0_-69.0,155.56,Directed
-14.0_87.0,-13.0_86.0,155.56,Directed
-14.0_87.0,-13.0_87.0,110.00,Directed
-14.0_87.0,-13.0_88.0,155.56,Directed
33.0_-163.0,32.0_-164.0,155.56,Directed
33.0_-163.0,33.0_-162.0,110.00,Directed
24.0_135.0,23.0_134.0,155.56,Directed
24.0_135.0,24.0_136.0,110.00,Directed
24.0_135.0,25.0_135.0,110.00,Directed
29.0_-46.0,28.0_-45.0,155.56,Directed
29.0_-46.0,29.0_-47.0,110.00,Directed
29.0_-46.0,30.0_-47.0,155.56,Directed
26.0_-68.0,25.0_-69.0,155.56,Directed
26.0_-68.0,26.0_-69.0,110.00,Directed
26.0_-68.0,27.0_-69.0,155.56,Directed
26.0_-68.0,27.0_-68.0,110.00,Directed
26.0_-68.0,27.0_-67.0,155.56,Directed
4.0_-125.0,3.0_-126.0,155.56,Directed
4.0_-125.0,3.0_-125.0,110.00,Directed
4.0_-125.0,3.0_-124.0,155.56,Directed
4.0_-125.0,4.0_-124.0,110.00,Directed
4.0_-125.0,5.0_-126.0,155.56,Directed
-35.0_155.0,-36.0_155.0,110.00,Directed
-35.0_155.0,-34.0_155.0,110.00,Directed
-35.0_155.0,-34.0_156.0,155.56,Directed
21.0_-61.0,20.0_-61.0,110.00,Directed
21.0_-61.0,20.0_-60.0,155.56,Directed
21.0_-61.0,21.0_-62.0,110.00,Directed
21.0_-61.0,21.0_-60.0,110.00,Directed
21.0_-61.0,22.0_-62.0,155.56,Directed
21.0_-61.0,22.0_-61.0,110.00,Directed
21.0_-61.0,22.0_-60.0,155.56,Directed
40.0_18.0,39.0_17.0,155.56,Directed
40.0_18.0,39.0_18.0,110.00,Directed
40.0_18.0,39.0_19.0,155.56,Directed
40.0_18.0,40.0_17.0,110.00,Directed
40.0_18.0,40.0_19.0,110.00,Directed
40.0_18.0,41.0_17.0,155.56,Directed
40.0_18.0,41.0_18.0,110.00,Directed
40.0_18.0,41.0_19.0,155.56,Directed
-28.0_-27.0,-28.0_-26.0,110.00,Directed
37.0_-2.0,36.0_-3.0,155.56,Directed
37.0_-2.0,36.0_-2.0,110.00,Directed
37.0_-2.0,37.0_-1.0,110.00,Directed
18.0_-153.0,17.0_-153.0,110.00,Directed
18.0_-153.0,17.0_-152.0,155.56,Directed
18.0_-153.0,18.0_-154.0,110.00,Directed
18.0_-153.0,18.0_-152.0,110.00,Directed
-8.0_-120.0,-8.0_-121.0,110.00,Directed
-8.0_-120.0,-8.0_-119.0,110.00,Directed
14.0_-145.0,13.0_-146.0,155.56,Directed
14.0_-145.0,14.0_-146.0,110.00,Directed
14.0_-145.0,14.0_-144.0,110.00,Directed
14.0_-145.0,15.0_-146.0,155.56,Directed
14.0_-145.0,15.0_-145.0,110.00,Directed
14.0_-145.0,15.0_-144.0,155.56,Directed
25.0_141.0,24.0_141.0,110.00,Directed
25.0_141.0,26.0_140.0,155.56,Directed
25.0_141.0,26.0_141.0,110.00,Directed
63.0_-54.0,64.0_-53.0,155.56,Directed
38.0_146.0,37.0_146.0,110.00,Directed
38.0_146.0,39.0_146.0,110.00,Directed
38.0_146.0,39.0_147.0,155.56,Directed
-32.0_-28.0,-32.0_-29.0,110.00,Directed
-32.0_-28.0,-32.0_-27.0,110.00,Directed
33.0_-47.0,32.0_-48.0,155.56,Directed
16.0_-129.0,15.0_-130.0,155.56,Directed
16.0_-129.0,16.0_-130.0,110.00,Directed
16.0_-129.0,16.0_-128.0,110.00,Directed
16.0_-129.0,17.0_-130.0,155.56,Directed
16.0_-129.0,17.0_-129.0,110.00,Directed
-26.0_-11.0,-27.0_-12.0,155.56,Directed
-26.0_-11.0,-26.0_-10.0,110.00,Directed
21.0_-74.0,20.0_-75.0,155.56,Directed
21.0_-74.0,20.0_-74.0,110.00,Directed
21.0_-74.0,20.0_-73.0,155.56,Directed
21.0_-74.0,21.0_-75.0,110.00,Directed
21.0_-74.0,21.0_-73.0,110.00,Directed
21.0_-74.0,22.0_-75.0,155.56,Directed
21.0_-74.0,22.0_-74.0,110.00,Directed
21.0_-74.0,22.0_-73.0,155.56,Directed
48.0_-124.0,47.0_-125.0,155.56,Directed
48.0_-124.0,48.0_-125.0,110.00,Directed
48.0_-124.0,48.0_-123.0,110.00,Directed
20.0_-68.0,19.0_-69.0,155.56,Directed
20.0_-68.0,19.0_-67.0,155.56,Directed
20.0_-68.0,20.0_-69.0,110.00,Directed
20.0_-68.0,21.0_-69.0,155.56,Directed
57.0_-15.0,58.0_-15.0,110.00,Directed
57.0_-15.0,58.0_-14.0,155.56,Directed
13.0_-63.0,12.0_-64.0,155.56,Directed
13.0_-63.0,12.0_-63.0,110.00,Directed
13.0_-63.0,12.0_-62.0,155.56,Directed
13.0_-63.0,13.0_-64.0,110.00,Directed
13.0_-63.0,13.0_-62.0,110.00,Directed
13.0_-63.0,14.0_-64.0,155.56,Directed
13.0_-63.0,14.0_-63.0,110.00,Directed
13.0_-63.0,14.0_-62.0,155.56,Directed
28.0_-80.0,27.0_-81.0,155.56,Directed
28.0_-80.0,27.0_-80.0,110.00,Directed
28.0_-80.0,27.0_-79.0,155.56,Directed
28.0_-80.0,28.0_-81.0,110.00,Directed
28.0_-80.0,28.0_-79.0,110.00,Directed
28.0_-80.0,29.0_-81.0,155.56,Directed
28.0_-80.0,29.0_-80.0,110.00,Directed
28.0_-80.0,29.0_-79.0,155.56,Directed
25.0_-151.0,24.0_-152.0,155.56,Directed
25.0_-151.0,25.0_-150.0,110.00,Directed
24.0_-128.0,23.0_-129.0,155.56,Directed
24.0_-128.0,23.0_-128.0,110.00,Directed
24.0_-128.0,23.0_-127.0,155.56,Directed
24.0_-128.0,24.0_-129.0,110.00,Directed
24.0_-128.0,25.0_-129.0,155.56,Directed
24.0_-128.0,25.0_-128.0,110.00,Directed
31.0_127.0,30.0_127.0,110.00,Directed
31.0_127.0,30.0_128.0,155.56,Directed
31.0_127.0,31.0_126.0,110.00,Directed
31.0_127.0,31.0_128.0,110.00,Directed
31.0_127.0,32.0_127.0,110.00,Directed
31.0_127.0,32.0_128.0,155.56,Directed
31.0_-75.0,30.0_-76.0,155.56,Directed
31.0_-75.0,30.0_-75.0,110.00,Directed
31.0_-75.0,30.0_-74.0,155.56,Directed
31.0_-75.0,31.0_-76.0,110.00,Directed
31.0_-75.0,31.0_-74.0,110.00,Directed
31.0_-75.0,32.0_-76.0,155.56,Directed
31.0_-75.0,32.0_-75.0,110.00,Directed
31.0_-75.0,32.0_-74.0,155.56,Directed
19.0_-76.0,18.0_-77.0,155.56,Directed
19.0_-76.0,18.0_-76.0,110.00,Directed
19.0_-76.0,18.0_-75.0,155.56,Directed
19.0_-76.0,19.0_-77.0,110.00,Directed
19.0_-76.0,19.0_-75.0,110.00,Directed
19.0_-76.0,20.0_-75.0,155.56,Directed
15.0_-146.0,14.0_-146.0,110.00,Directed
15.0_-146.0,14.0_-145.0,155.56,Directed
15.0_-146.0,15.0_-147.0,110.00,Directed
15.0_-146.0,15.0_-145.0,110.00,Directed
15.0_-146.0,16.0_-147.0,155.56,Directed
15.0_-146.0,16.0_-146.0,110.00,Directed
-35.0_-19.0,-35.0_-18.0,110.00,Directed
-35.0_-19.0,-34.0_-20.0,155.56,Directed
35.0_-147.0,34.0_-147.0,110.00,Directed
35.0_-147.0,35.0_-148.0,110.00,Directed
35.0_-147.0,35.0_-146.0,110.00,Directed
35.0_-147.0,36.0_-146.0,155.56,Directed
60.0_-7.0,59.0_-8.0,155.56,Directed
60.0_-7.0,59.0_-7.0,110.00,Directed
60.0_-7.0,59.0_-6.0,155.56,Directed
60.0_-7.0,60.0_-6.0,110.00,Directed
60.0_-7.0,61.0_-7.0,110.00,Directed
11.0_-60.0,10.0_-59.0,155.56,Directed
11.0_-60.0,11.0_-61.0,110.00,Directed
11.0_-60.0,12.0_-61.0,155.56,Directed
11.0_-60.0,12.0_-60.0,110.00,Directed
19.0_128.0,20.0_127.0,155.56,Directed
19.0_128.0,20.0_129.0,155.56,Directed
29.0_-59.0,28.0_-60.0,155.56,Directed
29.0_-59.0,28.0_-59.0,110.00,Directed
29.0_-59.0,28.0_-58.0,155.56,Directed
29.0_-59.0,29.0_-60.0,110.00,Directed
29.0_-59.0,29.0_-58.0,110.00,Directed
29.0_-59.0,30.0_-60.0,155.56,Directed
29.0_-59.0,30.0_-59.0,110.00,Directed
29.0_-59.0,30.0_-58.0,155.56,Directed
38.0_-63.0,37.0_-64.0,155.56,Directed
38.0_-63.0,37.0_-63.0,110.00,Directed
38.0_-63.0,37.0_-62.0,155.56,Directed
38.0_-63.0,38.0_-64.0,110.00,Directed
38.0_-63.0,39.0_-64.0,155.56,Directed
38.0_-63.0,39.0_-63.0,110.00,Directed
-64.0_-60.0,-63.0_-61.0,155.56,Directed
-64.0_-60.0,-63.0_-59.0,155.56,Directed
41.0_150.0,40.0_149.0,155.56,Directed
41.0_150.0,41.0_151.0,110.00,Directed
41.0_150.0,42.0_151.0,155.56,Directed
-18.0_-26.0,-19.0_-27.0,155.56,Directed
3.0_-142.0,2.0_-143.0,155.56,Directed
3.0_-142.0,2.0_-142.0,110.00,Directed
-30.0_-25.0,-31.0_-25.0,110.00,Directed
-30.0_-25.0,-30.0_-24.0,110.00,Directed
-30.0_-25.0,-29.0_-25.0,110.00,Directed
-27.0_-30.0,-27.0_-31.0,110.00,Directed
-27.0_-30.0,-27.0_-29.0,110.00,Directed
-27.0_-30.0,-26.0_-31.0,155.56,Directed
26.0_-121.0,25.0_-120.0,155.56,Directed
44.0_-67.0,43.0_-68.0,155.56,Directed
44.0_-67.0,43.0_-67.0,110.00,Directed
44.0_-67.0,43.0_-66.0,155.56,Directed
44.0_-67.0,44.0_-68.0,110.00,Directed
53.0_-18.0,53.0_-17.0,110.00,Directed
30.0_-125.0,29.0_-126.0,155.56,Directed
30.0_-125.0,29.0_-125.0,110.00,Directed
30.0_-125.0,29.0_-124.0,155.56,Directed
30.0_-125.0,30.0_-124.0,110.00,Directed
30.0_-125.0,31.0_-125.0,110.00,Directed
30.0_-125.0,31.0_-124.0,155.56,Directed
16.0_-67.0,15.0_-68.0,155.56,Directed
16.0_-67.0,15.0_-66.0,155.56,Directed
16.0_-67.0,16.0_-68.0,110.00,Directed
16.0_-67.0,16.0_-66.0,110.00,Directed
16.0_-67.0,17.0_-68.0,155.56,Directed
16.0_-67.0,17.0_-67.0,110.00,Directed
16.0_-67.0,17.0_-66.0,155.56,Directed
29.0_129.0,28.0_128.0,155.56,Directed
29.0_129.0,28.0_129.0,110.00,Directed
29.0_129.0,28.0_130.0,155.56,Directed
29.0_129.0,29.0_128.0,110.00,Directed
29.0_129.0,30.0_128.0,155.56,Directed
29.0_129.0,30.0_129.0,110.00,Directed
29.0_129.0,30.0_130.0,155.56,Directed
23.0_-77.0,23.0_-76.0,110.00,Directed
23.0_-77.0,24.0_-78.0,155.56,Directed
23.0_-77.0,24.0_-77.0,110.00,Directed
23.0_-77.0,24.0_-76.0,155.56,Directed
25.0_-71.0,24.0_-72.0,155.56,Directed
25.0_-71.0,24.0_-71.0,110.00,Directed
25.0_-71.0,24.0_-70.0,155.56,Directed
25.0_-71.0,25.0_-72.0,110.00,Directed
25.0_-71.0,25.0_-70.0,110.00,Directed
25.0_-71.0,26.0_-72.0,155.56,Directed
25.0_-71.0,26.0_-71.0,110.00,Directed
25.0_-71.0,26.0_-70.0,155.56,Directed
55.0_-12.0,54.0_-13.0,155.56,Directed
55.0_-12.0,54.0_-12.0,110.00,Directed
55.0_-12.0,54.0_-11.0,155.56,Directed
55.0_-12.0,55.0_-13.0,110.00,Directed
55.0_-12.0,55.0_-11.0,110.00,Directed
55.0_-12.0,56.0_-12.0,110.00,Directed
55.0_-12.0,56.0_-11.0,155.56,Directed
43.0_3.0,42.0_3.0,110.00,Directed
43.0_3.0,42.0_4.0,155.56,Directed
43.0_3.0,43.0_4.0,110.00,Directed
-3.0_-11.0,-4.0_-10.0,155.56,Directed
43.0_140.0,42.0_140.0,110.00,Directed
43.0_140.0,42.0_141.0,155.56,Directed
43.0_140.0,43.0_139.0,110.00,Directed
43.0_140.0,43.0_141.0,110.00,Directed
43.0_140.0,44.0_140.0,110.00,Directed
-14.0_-152.0,-15.0_-153.0,155.56,Directed
-14.0_-152.0,-15.0_-151.0,155.56,Directed
-14.0_-152.0,-14.0_-153.0,110.00,Directed
-14.0_-152.0,-13.0_-152.0,110.00,Directed
6.0_-86.0,5.0_-87.0,155.56,Directed
6.0_-86.0,5.0_-85.0,155.56,Directed
6.0_-86.0,6.0_-87.0,110.00,Directed
6.0_-86.0,7.0_-87.0,155.56,Directed
6.0_-86.0,7.0_-86.0,110.00,Directed
35.0_23.0,35.0_24.0,110.00,Directed
35.0_23.0,36.0_22.0,155.56,Directed
35.0_23.0,36.0_23.0,110.00,Directed
39.0_-142.0,38.0_-143.0,155.56,Directed
39.0_-142.0,38.0_-142.0,110.00,Directed
39.0_-142.0,39.0_-141.0,110.00,Directed
39.0_-142.0,40.0_-142.0,110.00,Directed
39.0_-142.0,40.0_-141.0,155.56,Directed
-15.0_-148.0,-16.0_-149.0,155.56,Directed
-15.0_-148.0,-16.0_-148.0,110.00,Directed
-15.0_-148.0,-15.0_-149.0,110.00,Directed
-15.0_-148.0,-15.0_-147.0,110.00,Directed
-15.0_-148.0,-14.0_-149.0,155.56,Directed
-15.0_-148.0,-14.0_-147.0,155.56,Directed
34.0_136.0,33.0_135.0,155.56,Directed
34.0_136.0,33.0_136.0,110.00,Directed
34.0_136.0,33.0_137.0,155.56,Directed
34.0_136.0,34.0_135.0,110.00,Directed
34.0_136.0,34.0_137.0,110.00,Directed
34.0_136.0,35.0_135.0,155.56,Directed
35.0_-121.0,34.0_-122.0,155.56,Directed
35.0_-121.0,34.0_-121.0,110.00,Directed
35.0_-121.0,34.0_-120.0,155.56,Directed
35.0_-121.0,35.0_-122.0,110.00,Directed
35.0_-121.0,36.0_-122.0,155.56,Directed
9.0_-116.0,8.0_-116.0,110.00,Directed
9.0_-116.0,9.0_-117.0,110.00,Directed
9.0_-116.0,10.0_-117.0,155.56,Directed
9.0_-116.0,10.0_-116.0,110.00,Directed
9.0_-116.0,10.0_-115.0,155.56,Directed
27.0_-61.0,26.0_-62.0,155.56,Directed
27.0_-61.0,26.0_-61.0,110.00,Directed
27.0_-61.0,26.0_-60.0,155.56,Directed
27.0_-61.0,27.0_-62.0,110.00,Directed
27.0_-61.0,27.0_-60.0,110.00,Directed
27.0_-61.0,28.0_-62.0,155.56,Directed
27.0_-61.0,28.0_-61.0,110.00,Directed
27.0_-61.0,28.0_-60.0,155.56,Directed
-26.0_107.0,-27.0_106.0,155.56,Directed
-26.0_107.0,-27.0_107.0,110.00,Directed
-26.0_107.0,-27.0_108.0,155.56,Directed
-26.0_107.0,-26.0_106.0,110.00,Directed
-26.0_107.0,-25.0_106.0,155.56,Directed
23.0_-127.0,22.0_-127.0,110.00,Directed
23.0_-127.0,23.0_-128.0,110.00,Directed
23.0_-127.0,24.0_-128.0,155.56,Directed
23.0_-127.0,24.0_-126.0,155.56,Directed
43.0_-83.0,42.0_-84.0,155.56,Directed
43.0_-83.0,42.0_-83.0,110.00,Directed
43.0_-83.0,42.0_-82.0,155.56,Directed
43.0_-83.0,44.0_-83.0,110.00,Directed
43.0_-83.0,44.0_-82.0,155.56,Directed
28.0_-123.0,27.0_-123.0,110.00,Directed
28.0_-123.0,28.0_-124.0,110.00,Directed
28.0_-123.0,29.0_-124.0,155.56,Directed
28.0_-123.0,29.0_-123.0,110.00,Directed
28.0_-123.0,29.0_-122.0,155.56,Directed
42.0_5.0,41.0_5.0,110.00,Directed
42.0_5.0,42.0_4.0,110.00,Directed
42.0_5.0,42.0_6.0,110.00,Directed
42.0_5.0,43.0_4.0,155.56,Directed
42.0_5.0,43.0_5.0,110.00,Directed
42.0_5.0,43.0_6.0,155.56,Directed
-3.0_-142.0,-4.0_-143.0,155.56,Directed
-3.0_-142.0,-4.0_-142.0,110.00,Directed
-3.0_-142.0,-4.0_-141.0,155.56,Directed
-3.0_-142.0,-3.0_-143.0,110.00,Directed
-3.0_-142.0,-3.0_-141.0,110.00,Directed
-3.0_-142.0,-2.0_-143.0,155.56,Directed
-3.0_-142.0,-2.0_-142.0,110.00,Directed
-3.0_-142.0,-2.0_-141.0,155.56,Directed
31.0_-62.0,30.0_-63.0,155.56,Directed
31.0_-62.0,30.0_-62.0,110.00,Directed
31.0_-62.0,30.0_-61.0,155.56,Directed
31.0_-62.0,31.0_-63.0,110.00,Directed
31.0_-62.0,31.0_-61.0,110.00,Directed
31.0_-62.0,32.0_-63.0,155.56,Directed
31.0_-62.0,32.0_-62.0,110.00,Directed
31.0_-62.0,32.0_-61.0,155.56,Directed
27.0_-74.0,26.0_-75.0,155.56,Directed
27.0_-74.0,26.0_-74.0,110.00,Directed
27.0_-74.0,26.0_-73.0,155.56,Directed
27.0_-74.0,27.0_-75.0,110.00,Directed
27.0_-74.0,27.0_-73.0,110.00,Directed
27.0_-74.0,28.0_-75.0,155.56,Directed
27.0_-74.0,28.0_-74.0,110.00,Directed
27.0_-74.0,28.0_-73.0,155.56,Directed
29.0_-119.0,28.0_-119.0,110.00,Directed
29.0_-119.0,28.0_-118.0,155.56,Directed
29.0_-119.0,29.0_-120.0,110.00,Directed
29.0_-119.0,29.0_-118.0,110.00,Directed
29.0_-119.0,30.0_-118.0,155.56,Directed
30.0_130.0,29.0_129.0,155.56,Directed
30.0_130.0,29.0_131.0,155.56,Directed
30.0_130.0,30.0_129.0,110.00,Directed
30.0_130.0,30.0_131.0,110.00,Directed
30.0_130.0,31.0_129.0,155.56,Directed
30.0_130.0,31.0_130.0,110.00,Directed
30.0_130.0,31.0_131.0,155.56,Directed
22.0_-58.0,21.0_-59.0,155.56,Directed
22.0_-58.0,21.0_-58.0,110.00,Directed
22.0_-58.0,21.0_-57.0,155.56,Directed
22.0_-58.0,22.0_-59.0,110.00,Directed
22.0_-58.0,22.0_-57.0,110.00,Directed
22.0_-58.0,23.0_-59.0,155.56,Directed
22.0_-58.0,23.0_-58.0,110.00,Directed
22.0_-58.0,23.0_-57.0,155.56,Directed
-34.0_15.0,-35.0_14.0,155.56,Directed
11.0_-138.0,11.0_-137.0,110.00,Directed
11.0_-138.0,12.0_-139.0,155.56,Directed
45.0_-86.0,44.0_-87.0,155.56,Directed
45.0_-86.0,44.0_-86.0,110.00,Directed
45.0_-86.0,45.0_-87.0,110.00,Directed
45.0_-86.0,45.0_-85.0,110.00,Directed
45.0_-86.0,46.0_-86.0,110.00,Directed
45.0_-86.0,46.0_-85.0,155.56,Directed
8.0_-146.0,7.0_-147.0,155.56,Directed
8.0_-146.0,7.0_-146.0,110.00,Directed
8.0_-146.0,7.0_-145.0,155.56,Directed
8.0_-146.0,8.0_-147.0,110.00,Directed
8.0_-146.0,8.0_-145.0,110.00,Directed
8.0_-146.0,9.0_-147.0,155.56,Directed
8.0_-146.0,9.0_-146.0,110.00,Directed
-32.0_-94.0,-32.0_-95.0,110.00,Directed
-32.0_-94.0,-32.0_-93.0,110.00,Directed
-34.0_-84.0,-34.0_-83.0,110.00,Directed
-34.0_-84.0,-33.0_-85.0,155.56,Directed
10.0_-155.0,9.0_-156.0,155.56,Directed
10.0_-155.0,11.0_-156.0,155.56,Directed
10.0_-155.0,11.0_-155.0,110.00,Directed
30.0_-38.0,29.0_-38.0,110.00,Directed
30.0_-38.0,31.0_-37.0,155.56,Directed
32.0_133.0,31.0_132.0,155.56,Directed
32.0_133.0,31.0_133.0,110.00,Directed
32.0_133.0,31.0_134.0,155.56,Directed
32.0_133.0,32.0_132.0,110.00,Directed
32.0_133.0,33.0_132.0,155.56,Directed
32.0_133.0,33.0_133.0,110.00,Directed
32.0_133.0,33.0_134.0,155.56,Directed
42.0_-64.0,41.0_-65.0,155.56,Directed
42.0_-64.0,41.0_-64.0,110.00,Directed
42.0_-64.0,41.0_-63.0,155.56,Directed
42.0_-64.0,42.0_-65.0,110.00,Directed
42.0_-64.0,42.0_-63.0,110.00,Directed
42.0_-64.0,43.0_-65.0,155.56,Directed
42.0_-64.0,43.0_-64.0,110.00,Directed
42.0_-64.0,43.0_-63.0,155.56,Directed
7.0_-163.0,6.0_-163.0,110.00,Directed
7.0_-163.0,6.0_-162.0,155.56,Directed
7.0_-163.0,7.0_-164.0,110.00,Directed
7.0_-163.0,7.0_-162.0,110.00,Directed
7.0_-163.0,8.0_-163.0,110.00,Directed
7.0_-163.0,8.0_-162.0,155.56,Directed
56.0_-136.0,55.0_-135.0,155.56,Directed
56.0_-136.0,56.0_-137.0,110.00,Directed
56.0_-136.0,56.0_-135.0,110.00,Directed
56.0_-136.0,57.0_-137.0,155.56,Directed
56.0_-136.0,57.0_-136.0,110.00,Directed
56.0_-136.0,57.0_-135.0,155.56,Directed
37.0_-140.0,36.0_-141.0,155.56,Directed
37.0_-140.0,36.0_-139.0,155.56,Directed
37.0_-140.0,37.0_-141.0,110.00,Directed
37.0_-140.0,37.0_-139.0,110.00,Directed
37.0_-140.0,38.0_-140.0,110.00,Directed
37.0_-140.0,38.0_-139.0,155.56,Directed
13.0_133.0,12.0_133.0,110.00,Directed
13.0_133.0,14.0_132.0,155.56,Directed
73.0_18.0,74.0_18.0,110.00,Directed
27.0_-56.0,26.0_-57.0,155.56,Directed
27.0_-56.0,26.0_-56.0,110.00,Directed
27.0_-56.0,27.0_-57.0,110.00,Directed
27.0_-56.0,28.0_-57.0,155.56,Directed
27.0_-56.0,28.0_-56.0,110.00,Directed
37.0_-149.0,36.0_-150.0,155.56,Directed
37.0_-149.0,36.0_-149.0,110.00,Directed
37.0_-149.0,37.0_-150.0,110.00,Directed
37.0_-149.0,38.0_-150.0,155.56,Directed
37.0_-149.0,38.0_-149.0,110.00,Directed
37.0_-149.0,38.0_-148.0,155.56,Directed
49.0_-9.0,48.0_-9.0,110.00,Directed
49.0_-9.0,48.0_-8.0,155.56,Directed
49.0_-9.0,49.0_-10.0,110.00,Directed
49.0_-9.0,49.0_-8.0,110.00,Directed
49.0_-9.0,50.0_-10.0,155.56,Directed
49.0_-9.0,50.0_-9.0,110.00,Directed
49.0_-9.0,50.0_-8.0,155.56,Directed
14.0_-163.0,13.0_-163.0,110.00,Directed
14.0_-163.0,14.0_-162.0,110.00,Directed
14.0_-163.0,15.0_-163.0,110.00,Directed
14.0_-163.0,15.0_-162.0,155.56,Directed
-5.0_-157.0,-6.0_-158.0,155.56,Directed
-5.0_-157.0,-6.0_-157.0,110.00,Directed
-5.0_-157.0,-6.0_-156.0,155.56,Directed
-5.0_-157.0,-5.0_-158.0,110.00,Directed
-5.0_-157.0,-5.0_-156.0,110.00,Directed
-5.0_-157.0,-4.0_-158.0,155.56,Directed
-5.0_-157.0,-4.0_-157.0,110.00,Directed
-5.0_-157.0,-4.0_-156.0,155.56,Directed
16.0_-147.0,15.0_-147.0,110.00,Directed
16.0_-147.0,15.0_-146.0,155.56,Directed
16.0_-147.0,16.0_-148.0,110.00,Directed
16.0_-147.0,16.0_-146.0,110.00,Directed
-26.0_-37.0,-27.0_-38.0,155.56,Directed
-26.0_-37.0,-26.0_-36.0,110.00,Directed
-26.0_-37.0,-25.0_-37.0,110.00,Directed
-15.0_-153.0,-16.0_-152.0,155.56,Directed
-15.0_-153.0,-14.0_-154.0,155.56,Directed
-15.0_-153.0,-14.0_-153.0,110.00,Directed
-15.0_-153.0,-14.0_-152.0,155.56,Directed
28.0_-62.0,27.0_-63.0,155.56,Directed
28.0_-62.0,27.0_-62.0,110.00,Directed
28.0_-62.0,27.0_-61.0,155.56,Directed
28.0_-62.0,28.0_-63.0,110.00,Directed
28.0_-62.0,28.0_-61.0,110.00,Directed
28.0_-62.0,29.0_-63.0,155.56,Directed
28.0_-62.0,29.0_-62.0,110.00,Directed
28.0_-62.0,29.0_-61.0,155.56,Directed
15.0_-66.0,14.0_-67.0,155.56,Directed
15.0_-66.0,14.0_-66.0,110.00,Directed
15.0_-66.0,14.0_-65.0,155.56,Directed
15.0_-66.0,15.0_-65.0,110.00,Directed
15.0_-66.0,16.0_-67.0,155.56,Directed
15.0_-66.0,16.0_-66.0,110.00,Directed
15.0_-66.0,16.0_-65.0,155.56,Directed
24.0_-70.0,23.0_-71.0,155.56,Directed
24.0_-70.0,23.0_-70.0,110.00,Directed
24.0_-70.0,24.0_-71.0,110.00,Directed
24.0_-70.0,24.0_-69.0,110.00,Directed
24.0_-70.0,25.0_-71.0,155.56,Directed
24.0_-70.0,25.0_-70.0,110.00,Directed
24.0_-70.0,25.0_-69.0,155.56,Directed
19.0_-58.0,18.0_-59.0,155.56,Directed
19.0_-58.0,18.0_-58.0,110.00,Directed
19.0_-58.0,19.0_-59.0,110.00,Directed
19.0_-58.0,20.0_-59.0,155.56,Directed
19.0_-58.0,20.0_-58.0,110.00,Directed
19.0_-58.0,20.0_-57.0,155.56,Directed
-30.0_-101.0,-30.0_-102.0,110.00,Directed
-30.0_-101.0,-30.0_-100.0,110.00,Directed
57.0_-137.0,56.0_-137.0,110.00,Directed
